simulation_id,final_value,cagr
4412,1111550.4917166631,0.06702216960499219
4413,1140635.3362708094,0.06822113364330273
4414,951673.6988917547,0.059842229270441694
4415,1356233.7347705346,0.07629221046754209
4416,1515882.5505327564,0.08151250525098597
4417,1723751.6037932187,0.08757202846051793
4418,1753019.958370339,0.08836846572023771
4419,1837411.4367202795,0.09059563920355473
4420,949797.5695380452,0.05975130121556238
4421,1432700.6397068102,0.07886198123362931
4422,1052912.3949550218,0.06451086129027517
4423,1299575.113001391,0.07429711070363743
4424,1718508.5691954584,0.08742799254542377
4425,1273940.4502711862,0.07336695926623626
4426,1622910.4331999442,0.0847252826569651
4427,1167929.9775700276,0.06931999289213264
4428,1074731.0738989408,0.06546057068777267
4429,1304588.1412213915,0.07447695447278391
4430,1394611.574448118,0.0775987975744401
4431,1238569.0580008866,0.07205367815414343
4432,994503.689056444,0.0618726906861613
4433,992262.4957184917,0.06176853426271722
4434,1273259.8120592174,0.0733420191436649
4435,1760937.1375553827,0.08858171884728039
4436,1165812.8158618847,0.06923564118499348
4437,1213349.940288405,0.07109524115627242
4438,1721660.8822983562,0.08751464275236809
4439,1036139.6856771931,0.06376790383913389
4440,997435.8396099111,0.06200861990970141
4441,1530268.6715730855,0.08195674597096603
4442,1334238.5784711165,0.07552734298812602
4443,1637021.2324120014,0.08513364857306582
4444,852120.0356978561,0.054762828107995265
4445,1061435.8170772132,0.06488408413219848
4446,1656561.6549845594,0.08569362258566215
4447,800278.4639756602,0.051888274383225186
4448,1175218.0063512726,0.06960924753638986
4449,1584170.9379651994,0.08358645253159813
4450,1085304.1230776662,0.06591417258821597
4451,1175062.7889402672,0.06960310501403599
4452,1972548.107651625,0.09396595961334153
4453,2798221.741959643,0.1107240589398979
4454,1248080.5278121196,0.07241031489373784
4455,1341314.6187968617,0.07577471540731207
4456,899422.1807951855,0.05724329238685644
4457,1169361.068919975,0.06937692745931634
4458,1146880.9325002143,0.06847477827374515
4459,1504921.6347295572,0.08117131912261843
4460,2217935.086118159,0.09955706885218474
4461,1685476.2459858325,0.08651074918157242
4462,1463984.1177899956,0.07987566544111124
4463,1549820.5423120796,0.08255414262068594
4464,1821436.1658701343,0.09018164892462699
4465,1038147.9794832147,0.06385746623931121
4466,984790.6832353534,0.06141965887584555
4467,1060350.4253775477,0.06483671671099223
4468,1163892.6341317089,0.06915901072380448
4469,950927.6318908146,0.059806091110755855
4470,1281789.1743208289,0.07365363695230953
4471,1526265.3820365954,0.08183352763517893
4472,1206033.4287148542,0.07081361444429035
4473,1562851.9896720618,0.08294832081842873
4474,1149967.9322272243,0.06859965923890088
4475,1627709.967606979,0.08486456080098126
4476,1110598.6563815917,0.06698242701564783
4477,1453526.8568992475,0.07953914183039346
4478,1641178.8516576272,0.0852533278146046
4479,1287171.8501345941,0.0738492722735844
4480,862176.8815049008,0.055301034044459074
4481,1522208.7316465871,0.08170835113775099
4482,1107321.0111641095,0.06684532369651519
4483,1755532.357301686,0.08843623803959555
4484,1923045.631586099,0.09275774892246513
4485,1966759.0597922483,0.09382617292184481
4486,1093689.52832751,0.06627092531283463
4487,1095615.971926871,0.06635251520981567
4488,1470316.2722633674,0.08007832368101786
4489,798941.7744150986,0.05181182422804631
4490,875801.8735014426,0.05602069386148556
4491,1118339.6902793306,0.06730470279373302
4492,2148705.8799575083,0.09804211697168586
4493,1658998.4701879206,0.08576301133984976
4494,1511570.1562014164,0.08137855355970647
4495,1137703.2569314942,0.06810159819465955
4496,1592910.422521258,0.08384567715185098
4497,1244792.799374005,0.07228733497023043
4498,2270809.558630964,0.1006839642916193
4499,993686.3086930243,0.06183473007564855
4500,1913138.7967433832,0.09251238330703115
4501,1555305.7481421118,0.0827204453031467
4502,1632699.3740533227,0.0850089330334296
4503,1652681.8640572152,0.08558294310724479
4504,2197514.682594191,0.09911496420698152
4505,2022026.3669449603,0.09514493838741878
4506,1819945.2502127704,0.09014283565544168
4507,1333093.9078514553,0.07548720838983813
4508,1735504.229497999,0.08789337841050027
4509,1330051.8379900572,0.0753803864948972
4510,1440199.5531308511,0.07910688537228405
4511,978143.2321260995,0.061107139839540636
4512,1884489.2360047402,0.09179591024658484
4513,1146274.6718107488,0.0684502149384496
4514,1907521.6468956363,0.09237272118135698
4515,1960564.4253989814,0.09367615606829172
4516,2169422.1563057113,0.09850029183884934
4517,1813082.336694421,0.08996377909289399
4518,1949131.5196266386,0.09339808835458685
4519,1516584.7495558106,0.0815342824580092
4520,1556641.0438960853,0.08276084442559539
4521,993117.4887385672,0.061808295427554505
4522,1460820.273361611,0.07977409345315523
4523,1679668.5162533713,0.08634770448503093
4524,1500387.0541758386,0.08102947330029653
4525,2298860.7322876295,0.10127165975978625
4526,1724742.2881608242,0.08759919732418564
4527,2080093.9722262318,0.09649388767904399
4528,1151865.655153867,0.0686762703460213
4529,1428802.7985992825,0.07873419841724383
4530,2159330.3468515286,0.09827761995226458
4531,1492015.1061271757,0.08076651034874938
4532,1235684.3380313064,0.07194499647019836
4533,3072635.7619801993,0.11525108728003497
4534,1457736.3274043992,0.07967488380459753
4535,2617325.5882832003,0.10750131273349206
4536,1802976.9181476175,0.08969894044863613
4537,1771837.6662796773,0.08887383424373452
4538,1077293.3824860218,0.06557088870800909
4539,1145237.3508520843,0.06840815787506282
4540,1600601.8324802748,0.08407269149652219
4541,1378041.1928227826,0.07703892575223481
4542,1799390.8837832005,0.08960461770392203
4543,1187887.9485580001,0.07010804490467382
4544,1392659.9224687929,0.0775331876994827
4545,720405.6357380563,0.04709050500022394
4546,1511589.2680758224,0.08137914801919566
4547,1350858.6963192564,0.07610639839515154
4548,1403136.6440371901,0.07788436419696998
4549,911742.1917478653,0.05786884735136111
4550,1146411.2409540596,0.06845574927541653
4551,1218895.2394790037,0.07130761043125733
4552,1005407.0749380437,0.062376229125491456
4553,1970710.5550933087,0.09392163124926034
4554,1502479.9748911406,0.0810949926533362
4555,1808311.3734132664,0.08983892007000471
4556,1570779.4183009223,0.08318657636350757
4557,1490470.4027635416,0.0807178370200945
4558,1294822.94772759,0.07412601173488609
4559,1227454.35982547,0.07163359331725294
4560,1867027.9418861587,0.09135410754994311
4561,1585246.1447278992,0.08361841827004612
4562,1866154.3865187606,0.09133190132822899
4563,2262059.722100348,0.10049922654819077
4564,1233167.0117110584,0.07184995784756887
4565,1936856.1440540294,0.09309778814218195
4566,1390881.7318598568,0.07747333256663236
4567,1807845.646098383,0.08982671482579452
4568,1203217.0336139724,0.07070477011746101
4569,883091.3368212814,0.05640133122383273
